task_index,slug,prompt,rank,chunk,reason,is_prominent,robust_z,gripper_mean,l17_mean,l17_p99,l17_top,prev_p99_delta,next_p99_delta,top_neuron,top_value,top_token_index,is_static_candidate,quality_score,groups,top_tokens
3,task_03_put_the_bowl_in_the_grey_bin,put the bowl in the grey bin,1,7,gripper_window,True,11.314789509042274,0.965114972718072,510.80280015507014,7594.880000000005,259072.0,5746.880000000005,-4309.440000000002,9926,259072.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
3,task_03_put_the_bowl_in_the_grey_bin,put the bowl in the grey bin,2,8,top_p99,False,2.898419754239127,0.976828712984419,202.48173919471446,3285.4400000000023,115712.0,-4309.440000000002,-1370.7200000000012,9926,115712.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
3,task_03_put_the_bowl_in_the_grey_bin,put the bowl in the grey bin,3,11,top_p99,False,0.6538669975468081,0.9853048250000955,138.18707352639467,2136.1600000000035,97280.0,88.16000000000349,-381.4400000000023,9926,97280.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
3,task_03_put_the_bowl_in_the_grey_bin,put the bowl in the grey bin,4,10,top_p99,False,0.4816898335571773,0.9391225115186334,121.19252764005796,2048.0,84480.0,133.27999999999884,88.16000000000349,9926,84480.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
3,task_03_put_the_bowl_in_the_grey_bin,put the bowl in the grey bin,5,9,top_p99,False,0.22139295950390056,0.9731387476973893,131.7009972515516,1914.7200000000012,100864.0,-1370.7200000000012,133.27999999999884,9926,100864.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,1,16,gripper_window,True,15.563684957926506,0.8602129497916103,437.21645228518173,6122.880000000005,240640.0,4152.1600000000035,-4569.520000000004,9926,240640.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,2,30,gripper_window,True,13.33470581627251,0.9542394407066347,340.15177438640967,5440.0,194560.0,1568.0,-2487.8399999999965,9926,194560.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,3,22,gripper_window,True,10.741193534769785,0.6064660395850896,334.06968543009134,4645.440000000002,238592.0,3444.0800000000017,-1701.4400000000023,9926,238592.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,4,29,top_p99,True,8.216618752493455,0.9504412430063011,302.7286935407028,3872.0,202752.0,2876.0,1568.0,9926,202752.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,5,34,l17_peak,True,8.1121679960898,0.00843421828891039,253.31007431619219,3840.0,196608.0,1648.0,-1328.0,9926,196608.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,6,11,gripper_window,True,5.291997573191137,0.486016342886138,201.11694829096086,2976.0,131072.0,1512.0,-397.27999999999884,9926,131072.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
5,task_05_pack_canned_foods_into_the_bin,Pack canned foods into the bin,1,5,gripper_window,True,6.531197492215263,0.671596589705372,174.20520030532498,2738.720000000001,115200.0,1714.7200000000012,-1065.3600000000006,9926,115200.0,813,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
5,task_05_pack_canned_foods_into_the_bin,Pack canned foods into the bin,2,1,l17_peak,True,5.571364797082607,0.02501154213314653,178.3215567644511,2512.0,165888.0,nan,-472.0,9926,165888.0,811,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
5,task_05_pack_canned_foods_into_the_bin,Pack canned foods into the bin,3,2,top_p99,True,3.573124535514985,0.24125759568709731,154.22659803148417,2040.0,159744.0,-472.0,-840.0,9926,159744.0,811,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
5,task_05_pack_canned_foods_into_the_bin,Pack canned foods into the bin,4,9,top_p99,False,2.895754955322571,0.013076855662876368,151.32207344827475,1880.0,144384.0,806.6399999999994,-102.63999999999942,9926,144384.0,812,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
5,task_05_pack_canned_foods_into_the_bin,Pack canned foods into the bin,5,10,top_p99,False,2.4612223696291395,0.15270459267861844,130.73803597330698,1777.3600000000006,129536.0,-102.63999999999942,-369.3600000000006,9926,129536.0,813,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
6,task_06_put_the_small_red_yogurt_in_the_red_bowl,Put the small red yogurt in the red bowl,1,25,l17_peak,True,4.76985607573599,0.5203592667037725,381.37586305383593,5056.0,245760.0,4212.0,-4152.0,9926,245760.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
6,task_06_put_the_small_red_yogurt_in_the_red_bowl,Put the small red yogurt in the red bowl,2,7,l17_peak,True,4.207012729779263,0.5515197173782467,329.52167538463254,4645.440000000002,218112.0,3588.0800000000017,-2421.4400000000023,9926,218112.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
6,task_06_put_the_small_red_yogurt_in_the_red_bowl,Put the small red yogurt in the red bowl,3,17,top_p99,False,2.8872043070896125,0.002649048206359148,255.51086793770082,3682.720000000001,232448.0,1961.3600000000006,-1360.0,9926,232448.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
6,task_06_put_the_small_red_yogurt_in_the_red_bowl,Put the small red yogurt in the red bowl,4,29,gripper_window,False,2.0280237201400744,0.6409511716482997,227.22292732825736,3056.0,161792.0,1933.2799999999988,-1912.0,9926,161792.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
6,task_06_put_the_small_red_yogurt_in_the_red_bowl,Put the small red yogurt in the red bowl,5,2,top_p99,False,1.8782100002303153,0.013841037762182956,188.97074794309447,2946.720000000001,203776.0,882.7200000000012,-1153.3600000000006,9926,203776.0,814,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,1,31,gripper_window,True,7.363769149606269,0.902659165225947,317.74642422265606,4128.0,242688.0,2904.0,-3040.0,9926,242688.0,818,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,2,11,gripper_window,True,5.833485539535265,0.696335532596326,283.60530246421695,3554.720000000001,206848.0,2249.3600000000006,-2890.040000000001,9926,206848.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,3,6,gripper_window,True,4.416809364652334,0.7629035798390151,222.72888740472263,3024.0,133120.0,1678.6399999999994,-1720.0,9926,133120.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,4,28,l17_peak,True,4.16781261760478,0.5386311848432065,207.1472464321996,2930.720000000001,174080.0,1466.7200000000012,-1785.3600000000006,9926,174080.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,5,37,gripper_window,True,3.007393815326539,0.76682056979388,181.07431148191245,2496.0,150528.0,1096.0,-1205.2799999999988,9926,150528.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,1,39,gripper_window,True,13.501353647807232,0.9803512384413601,590.1028412112064,7685.440000000002,409600.0,1184.0,-4261.440000000002,9926,409600.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,2,38,top_p99,True,10.990042140825192,0.9827381955996751,459.39974595652893,6501.440000000002,325632.0,4836.080000000002,1184.0,9926,325632.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,3,21,gripper_window,True,9.101128647870867,0.9580618569141627,393.52765511290636,5610.880000000005,226304.0,2200.1600000000035,-2442.8800000000047,9926,226304.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,4,40,top_p99,True,4.462668421191058,0.9755089036636233,232.32940965151647,3424.0,176128.0,-4261.440000000002,-2040.0,9926,176128.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,5,20,top_p99,True,4.434501008342478,0.9480886351283669,228.34023343661102,3410.720000000001,142336.0,2106.720000000001,2200.1600000000035,9926,142336.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
9,task_09_put_2_bananas_in_the_crate,Put 2 bananas in the crate,1,6,gripper_window,True,6.365407013577101,0.8659129915830017,491.2701248563826,6565.440000000002,305152.0,4573.440000000002,-3106.720000000001,9926,305152.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
9,task_09_put_2_bananas_in_the_crate,Put 2 bananas in the crate,2,14,gripper_window,True,5.047505993676563,0.8575230348407866,425.3370971383265,5605.440000000002,313344.0,160.0,-1968.0,9926,313344.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
9,task_09_put_2_bananas_in_the_crate,Put 2 bananas in the crate,3,13,top_p99,True,4.827855823693141,0.8857488071113944,401.2380243742955,5445.440000000002,305152.0,3973.4400000000023,160.0,9926,305152.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
9,task_09_put_2_bananas_in_the_crate,Put 2 bananas in the crate,4,15,top_p99,False,2.3458089028804627,0.7595481247369051,240.2341874667909,3637.4400000000023,175104.0,-1968.0,-1613.4400000000023,9926,175104.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
9,task_09_put_2_bananas_in_the_crate,Put 2 bananas in the crate,5,7,top_p99,False,2.100459663008978,0.8765086361548302,207.3002312312019,3458.720000000001,153600.0,-3106.720000000001,-1993.3600000000006,9926,153600.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,1,120,l17_peak,True,11.000077925785668,0.006337960687547922,458.6891304125602,6400.0,358400.0,4285.279999999999,nan,9926,358400.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,2,118,l17_peak,True,10.190352563432173,0.008201369419705869,435.709966845694,6053.440000000002,307200.0,3781.4400000000023,-3938.720000000001,9926,307200.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,3,12,gripper_window,True,5.990696644374353,0.44989922470602395,289.2618753913921,4256.0,248832.0,624.0,-1453.2799999999988,9926,248832.0,821,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,4,11,top_p99,True,4.532742390829268,0.9811106411994337,258.9388855198631,3632.0,233472.0,2903.3199999999997,624.0,9926,233472.0,822,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,5,30,gripper_window,True,3.7476901004588385,0.9643115984315157,261.0131623914931,3296.0,239616.0,2200.0,-2120.0,9926,239616.0,823,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,6,96,gripper_window,True,3.1185267648905395,0.4298289373982906,187.03008490363936,3026.720000000001,112640.0,930.7200000000012,-1514.7200000000012,9926,112640.0,822,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,7,79,gripper_window,False,2.7510475261123837,0.007424396722644568,187.6206375300244,2869.4400000000023,164864.0,1365.4400000000023,-852.0800000000017,9926,164864.0,822,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,8,85,gripper_window,False,2.364502731710938,0.6166750978249669,181.99061458446522,2704.0,156672.0,694.6399999999994,-64.0,9926,156672.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,9,48,gripper_window,False,1.9532848653264272,0.9905532289771201,168.40276187517156,2528.0,158720.0,990.6399999999994,-712.0,9926,158720.0,822,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,10,100,gripper_window,False,1.205616017354589,0.8919346810562969,146.21596393350046,2208.0,111616.0,790.6399999999994,-254.63999999999942,9926,111616.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,11,63,gripper_window,False,1.0934656901588133,0.007328462273418903,155.81967161712237,2160.0,148480.0,109.27999999999884,-717.2799999999988,9926,148480.0,822,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,12,59,gripper_window,False,0.83178159336867,0.9106878347592116,143.43980301486226,2048.0,97280.0,376.0,-126.63999999999942,9926,97280.0,822,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,13,106,gripper_window,False,0.6106585315810001,0.8551601253570198,143.61169985911692,1953.3600000000006,102400.0,361.3600000000006,-265.3600000000006,9926,102400.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
11,task_11_put_all_the_oranges_on_the_plate,Put all the oranges on the plate,1,11,gripper_window,True,12.23214404159354,0.5877356979996801,256.02459125308087,3696.0,165888.0,2206.6399999999994,-1533.2799999999988,9926,165888.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
11,task_11_put_all_the_oranges_on_the_plate,Put all the oranges on the plate,2,12,top_p99,True,3.977169650706863,0.6212006214744686,141.70194112125318,2162.720000000001,123904.0,-1533.2799999999988,-864.0,9926,123904.0,813,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
11,task_11_put_all_the_oranges_on_the_plate,Put all the oranges on the plate,3,4,gripper_window,False,0.47378022696313005,0.007297823637020588,110.01110219862312,1512.0,96768.0,286.6399999999994,-246.63999999999942,9926,96768.0,813,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
11,task_11_put_all_the_oranges_on_the_plate,Put all the oranges on the plate,4,10,top_p99,False,0.35188949584443696,0.6466827340492843,108.37369744112948,1489.3600000000006,43520.0,312.0,2206.6399999999994,9926,43520.0,814,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
11,task_11_put_all_the_oranges_on_the_plate,Put all the oranges on the plate,5,2,top_p99,False,0.2584255783435255,0.8419307419649005,108.89030182809802,1472.0,116736.0,150.63999999999942,-246.63999999999942,9926,116736.0,812,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,1,145,l17_peak,True,12.841049470023597,0.006456550326615573,510.1453797571012,6720.0,350208.0,5371.919999999998,-5438.639999999999,9926,350208.0,818,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,2,19,gripper_window,True,11.49543199475857,0.8733536392576933,472.29403334326344,6176.0,337920.0,4496.0,-4205.279999999999,9926,337920.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,3,126,gripper_window,True,10.968266560331225,0.9429995782814385,422.89705069561023,5962.880000000005,313344.0,4794.880000000005,-1418.8800000000047,9926,313344.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,4,8,gripper_window,True,9.530038941180305,0.8574109169780019,404.4002400164027,5381.440000000002,292864.0,4213.440000000002,-4221.440000000002,9926,292864.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,5,141,gripper_window,True,9.437428797294412,0.9081331517254472,399.7827847591543,5344.0,348160.0,3790.6399999999994,-2229.1199999999953,9926,348160.0,821,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,6,27,gripper_window,True,9.213423064647358,0.8759686858082415,405.39110189603525,5253.440000000002,317440.0,3884.0800000000017,-3893.4400000000023,9926,317440.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,7,89,gripper_window,True,9.213423064647358,0.854441627085507,395.8988543583546,5253.440000000002,331776.0,3829.4400000000023,-4025.3600000000006,9926,331776.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,8,171,gripper_window,True,8.263575435048516,0.8847494242143632,329.7449026524555,4869.440000000002,266240.0,2645.4400000000023,-3213.4400000000023,9926,266240.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,9,133,l17_peak,True,7.248030011069092,0.0033998576850593092,322.1736062936252,4458.880000000005,223232.0,1978.8800000000047,-2760.1600000000035,9926,223232.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,10,101,gripper_window,True,6.825347815897596,0.8565913215357902,318.0782288660703,4288.0,266240.0,3118.6399999999994,-3315.3199999999997,9926,266240.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,11,113,gripper_window,True,5.835923201732135,0.9082935754984975,257.48559992341325,3888.0,224256.0,2464.0,-1520.0,9926,224256.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,12,159,gripper_window,True,5.565612397142134,0.8922293038048269,288.23848917649593,3778.720000000001,278528.0,1969.3600000000006,-736.0,9926,278528.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,13,163,l17_peak,True,4.411151757333872,0.004993178017634155,213.45654331939295,3312.0,140288.0,1101.2799999999988,-1726.6399999999994,9926,140288.0,817,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,14,180,gripper_window,True,4.378302860143582,0.9124875964122177,236.68787943678035,3298.720000000001,206848.0,2241.3600000000006,nan,9926,206848.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,1,58,gripper_window,True,7.183040811719472,0.7522867242091299,464.75444814685034,6725.440000000002,241664.0,4549.440000000002,-5388.080000000002,9926,241664.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,2,16,gripper_window,True,6.120759721728086,0.6715111694095731,439.62217358493945,5989.440000000002,301056.0,3813.4400000000023,-3573.4400000000023,9926,301056.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,3,104,gripper_window,True,5.93601518433828,0.905595063295448,444.80293847905705,5861.440000000002,337920.0,4253.440000000002,-4402.720000000001,9926,337920.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,4,10,gripper_window,True,5.05062698889763,0.7471016832523226,380.21271306229755,5248.0,299008.0,3520.0,-2384.0,9926,299008.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,5,177,l17_peak,True,4.781361825651991,0.013424172336959837,343.74252935140976,5061.440000000002,231424.0,128.0,-1778.7200000000012,9926,231424.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,6,40,gripper_window,True,4.5887656454231145,0.7186436779046057,361.6476444018772,4928.0,284672.0,2984.0,-1719.8399999999965,9926,284672.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,7,62,l17_peak,True,4.242831499160713,0.8454610701036215,326.47194939199835,4688.320000000007,253952.0,144.32000000000698,-3907.6400000000067,9926,253952.0,815,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,8,74,gripper_window,True,3.534336198270799,0.6901637185754658,288.0608259293949,4197.440000000002,194560.0,1813.4400000000023,-1461.4400000000023,9926,194560.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,9,145,gripper_window,True,3.4341122867368257,0.8223965493506672,296.65952901824494,4128.0,257024.0,2974.6399999999994,-954.5599999999977,9926,257024.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
